MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10000847339,000000000034153614,0.0010,Active Export Interval (kWh),22-02-2025 06:30
10000847339,000000000034153614,0.0060,Active Import Interval (kWh),22-02-2025 06:30
10000847339,000000000034153614,0.0480,Active Import Interval (kWh),22-02-2025 06:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 06:00
10000847339,000000000034153614,0.0810,Active Import Interval (kWh),22-02-2025 05:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 05:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 05:00
10000847339,000000000034153614,0.0565,Active Import Interval (kWh),22-02-2025 05:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 04:30
10000847339,000000000034153614,0.1125,Active Import Interval (kWh),22-02-2025 04:30
10000847339,000000000034153614,0.3795,Active Import Interval (kWh),22-02-2025 04:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 04:00
10000847339,000000000034153614,0.6110,Active Import Interval (kWh),22-02-2025 03:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 03:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 03:00
10000847339,000000000034153614,0.7490,Active Import Interval (kWh),22-02-2025 03:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 02:30
10000847339,000000000034153614,0.7090,Active Import Interval (kWh),22-02-2025 02:30
10000847339,000000000034153614,0.0630,Active Import Interval (kWh),22-02-2025 02:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 02:00
10000847339,000000000034153614,0.0950,Active Import Interval (kWh),22-02-2025 01:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 01:30
10000847339,000000000034153614,0.0815,Active Import Interval (kWh),22-02-2025 01:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 01:00
10000847339,000000000034153614,0.0015,Active Export Interval (kWh),22-02-2025 00:30
10000847339,000000000034153614,0.0655,Active Import Interval (kWh),22-02-2025 00:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 00:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),22-02-2025 00:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),21-02-2025 23:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 23:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),21-02-2025 23:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 23:00
10000847339,000000000034153614,0.0030,Active Export Interval (kWh),21-02-2025 22:30
10000847339,000000000034153614,0.0740,Active Import Interval (kWh),21-02-2025 22:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),21-02-2025 22:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 22:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 21:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),21-02-2025 21:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 21:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),21-02-2025 21:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 20:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),21-02-2025 20:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 20:00
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),21-02-2025 20:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),21-02-2025 19:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),21-02-2025 19:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),21-02-2025 19:00
10000847339,000000000034153614,0.0040,Active Import Interval (kWh),21-02-2025 19:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),21-02-2025 18:30
