#MPRN: 10012947687
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-02-16,1.575,1.508,0.854,0.186,0.015,0.033,0.015,0.033,0.015,0.024,0.024,0.048,1.379,1.547,1.535,0.779,0.029,0.018,0.022,0.024,0.014,0.033,0.014,0.033,0.014,0.022,0.026,0.014,0.033,0.015,0.025,0.022,0.015,0.033,0.015,0.031,0.016,0.018,0.03,0.014,0.035,0.015,0.014,0.034,0.015,0.034,0.35,1.276
2024-02-17,1.557,1.083,0.8,0.378,0.033,0.015,0.029,0.018,0.022,0.026,0.015,0.06,1.345,1.479,1.104,0.607,0.015,0.029,0.017,0.023,0.023,0.018,0.029,0.014,0.032,0.015,0.032,0.014,0.025,0.021,0.015,0.032,0.014,0.032,0.015,0.022,0.025,0.015,0.033,0.014,0.03,0.019,0.015,0.033,0.015,0.03,0.364,1.307
2024-02-18,1.581,1.109,0.854,0.328,0.032,0.015,0.032,0.015,0.033,0.015,0.029,0.048,1.374,1.366,1.286,0.474,0.017,0.029,0.015,0.031,0.014,0.032,0.014,0.032,0.014,0.032,0.014,0.031,0.014,0.031,0.014,0.031,0.015,0.029,0.02,0.025,0.02,0.026,0.021,0.025,0.02,0.026,0.018,0.029,0.015,0.032,0.354,1.308
2024-02-19,1.07,1.089,0.854,0.241,0.02,0.028,0.02,0.027,0.019,0.028,0.015,0.059,1.348,1.519,1.027,0.794,0.015,0.031,0.014,0.031,0.014,0.032,0.014,0.031,0.015,0.031,0.014,0.032,0.014,0.032,0.014,0.027,0.019,0.024,0.029,0.034,0.04,0.174,0.046,0.096,0.082,0.097,0.223,0.101,0.087,0.312,0.715,1.304
2024-02-20,1.244,0.816,0.187,0.404,0.017,0.033,0.015,0.033,0.016,0.037,0.016,0.051,0.864,1.002,0.984,0.744,0.015,0.032,0.125,0.307,0.461,0.176,0.133,0.329,0.034,0.05,0.043,0.193,0.029,0.009,0.026,0.009,0.026,0.009,0.024,0.012,0.015,0.021,0.009,0.027,0.009,0.026,0.012,0.009,0.03,0.009,0.362,1.393
2024-02-21,1.22,1.232,0.775,0.024,0.013,0.017,0.019,0.009,0.029,0.009,0.022,0.131,1.138,1.159,1.021,0.436,0.012,0.013,0.023,0.01,0.027,0.009,0.027,0.009,0.017,0.02,0.009,0.027,0.01,0.026,0.01,0.025,0.01,0.025,0.009,0.026,0.009,0.026,0.01,0.026,0.009,0.019,0.017,0.013,0.024,0.009,0.37,1.141
2024-02-22,1.031,0.967,0.665,0.009,0.024,0.013,0.019,0.018,0.01,0.027,0.01,0.145,0.956,1.066,1.065,0.419,0.027,0.008,0.028,0.009,0.023,0.013,0.009,0.028,0.009,0.027,0.01,0.012,0.025,0.009,0.026,0.009,0.027,0.008,0.021,0.016,0.009,0.028,0.009,0.019,0.019,0.009,0.029,0.009,0.01,0.029,0.354,1.404
2024-02-23,1.601,1.563,0.818,0.237,0.01,0.029,0.01,0.012,0.027,0.009,0.017,0.138,1.343,1.534,1.507,0.688,0.025,0.013,0.01,0.029,0.009,0.009,0.029,0.009,0.009,0.029,0.009,0.019,0.019,0.009,0.027,0.009,0.019,0.018,0.009,0.028,0.009,0.009,0.028,0.009,0.014,0.025,0.009,0.016,0.023,0.009,0.343,1.381
2024-02-24,1.541,1.553,1.086,0.036,0.022,0.019,0.009,0.02,0.02,0.01,0.015,0.146,1.38,1.577,1.59,0.713,0.009,0.031,0.009,0.009,0.03,0.008,0.01,0.028,0.009,0.023,0.014,0.009,0.028,0.009,0.017,0.02,0.009,0.028,0.009,0.008,0.029,0.009,0.02,0.018,0.01,0.027,0.012,0.009,0.029,0.011,0.349,1.372
2024-02-25,1.533,1.525,0.799,0.288,0.009,0.028,0.012,0.009,0.03,0.009,0.01,0.144,1.343,1.525,1.551,0.708,0.01,0.029,0.009,0.01,0.029,0.01,0.009,0.03,0.009,0.009,0.029,0.009,0.009,0.03,0.009,0.009,0.03,0.009,0.009,0.027,0.013,0.009,0.014,0.027,0.009,0.01,0.031,0.01,0.01,0.009,0.375,1.385
